Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100p/100V/X7R,
C2,0603,1,0.1u/100V/X7R,
"C3, C5, C6",1210,3,22u/25V/X7R,
"D1, D2, D3, D4, D5, D6, D7, D8",SFH4715AS,8,SFH 4715AS,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,1715721,
Q1,TDSON-8-1,1,CSD18501Q5A,
"R1, R2, R3, R4, R5, R6, R7, R8",2512,8,0R/5%/250mW,
R10,0603,1,1k/1%/100mW,
R11,0603,1,100/1%/100mW,
R12,0603,1,100k/0.1%/100mW,
R14,0603,1,11k/0.1%/100mW,
R15,0603,1,110/0.1%/100mW,
R9,2512,1,RNCL2512FT1R00,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA192IDR,
U2,Converter_DCDC_TRACO_TSR1-xxxxE_THT,1,TSR1-2450E,
